"paper_id","title","year","venue","platforms","strict_closed_loop","boundary_role","evidence_level","verification_grade","structured_item_count","visual_item_count","key_limitation"
"whispertest_2025","WhisperTest: A Voice-Control-based Library for iOS UI Automation",2025,"ACM CCS 2025","ios",false,"schema_method_reference","full_text_verified","weak_visual_or_log",1,2,"Voice Control automation is not VoiceOver evaluation."
"abandon_all_hope_2024","Abandon All Hope Ye Who Enter Here: A Dynamic, Longitudinal Investigation of Android's Data Safety Section",2024,"33rd USENIX Security Symposium","android|webview",true,"core_experimental_seed","ppt_only","direct",1,0,"PPT-only details until local full text is obtained."
"the_ok_is_not_enough_2023","The OK Is Not Enough: A Large Scale Study of Consent Dialogs in Smartphone Applications",2023,"32nd USENIX Security Symposium","android|ios",false,"schema_method_reference","full_text_verified","none",1,1,"First-launch and text-only bias."
"freely_given_consent_2022","Freely Given Consent? Studying Consent Notice of Third-Party Tracking and Its Violations of GDPR in Android Apps",2022,"ACM CCS 2022","android",false,"schema_method_reference","full_text_verified","none",1,1,"First-launch, OCR and English-analysis bias."
"vlm_fuzz_2026","VLM-Fuzz: Vision Language Model Assisted Recursive Depth-first Search Exploration for Effective GUI Testing of Android Apps",2026,"Empirical Software Engineering 31:76","android",true,"core_experimental_seed","full_text_verified","direct",2,1,"Tree exposure and 150-pixel heuristic limit coverage."
"tcf_aaid_2026","The TCF doesn't really A(A)ID - Automatic Privacy Analysis and Legal Compliance of TCF-based Android Applications",2026,"Proceedings on Privacy Enhancing Technologies","android",true,"core_experimental_seed","full_text_verified","indirect",3,1,"Android/CMP-specific and manually tuned."
"cookieverse_bannerclick","Exploring the Cookieverse: A Multi-Perspective Analysis of Web Cookies",2023,"Passive and Active Measurement Conference 2023","mobile_web",true,"core_experimental_seed","full_text_verified","weak_manual",3,1,"Mobile browser emulation, not native mobile."
"ssldetecter_2019","SSLDetecter: Detecting SSL Security Vulnerabilities of Android Applications Based on a Novel Automatic Traversal Method",2019,"Security and Communication Networks","android",false,"schema_method_reference","local_note_verified","none",2,0,"No local full text in the project."
"poker_sneaky_popups","Understanding the Sneaky Patterns of Pop-up Windows in the Mobile Ecosystem",2025,"arXiv preprint","android",true,"core_experimental_seed","full_text_verified","weak_visual_or_log",2,1,"Android-only, dim-overlay assumption and host-node contamination."
"popsweeper_2024","PopSweeper: Automatically Detecting and Resolving App-Blocking Pop-Ups to Assist Automated Mobile GUI Testing",2024,"arXiv preprint","android",false,"schema_method_reference","full_text_verified","none",0,3,"No real execution, context or task recovery."
"dynamic_ios_privacy_2021","Dynamic iOS Privacy Analysis: Verifying App Store Privacy Labels",2021,"TU Wien Diploma Thesis","ios",false,"schema_method_reference","local_note_verified","none",1,0,"English allow-list and XCUI-exposed Alerts only."
"hotmobile_ad_policy_2018","How Do Mobile Apps Violate the Behavioral Policy of Advertisement Libraries?",2018,"ACM HotMobile 2018","android",true,"core_experimental_seed","full_text_verified","direct",2,0,"Android/ad-specific and heuristic."
"ios_applications_testing_2018","An Approach for iOS Applications' Testing",2018,"Baltic Journal of Modern Computing 6(1)","ios",false,"schema_method_reference","local_note_verified","none",1,0,"Legacy UIAutomation."
"dios_2014","DiOS: Dynamic Privacy Analysis of iOS Applications",2014,"FAU Technical Report CS-2014-03","ios",false,"schema_method_reference","full_text_verified","none",2,0,"2014/iOS 6/private API and jailbreak constraints."
